word,f(0),f(1),f(0) + f(1)
patot,0.001,0.999,1
campaign,0.999,0.001,1
tiba,0.001,0.999,1
sepanggar,0.999,0.001,1
conditions,0.001,0.999,1
if,0.999,0.001,1
n,0.999,0.001,1
pesawat,0.999,0.001,1
memang,0.999,0.001,1
take,0.001,0.999,1
battle,0.999,0.001,1
apatahlagi,0.001,0.999,1
minta,0.999,0.001,1
elok,0.001,0.999,1
guan,0.999,0.001,1
20.00118,0.001,0.999,1
omar,0.999,0.001,1
united,0.001,0.999,1
parti,0.001,0.999,1
rule,0.999,0.001,1
already,0.999,0.001,1
pro-najib,0.001,0.999,1
permainan,0.999,0.001,1
either,0.999,0.001,1
simpati,0.999,0.001,1
bukanaimantino,0.999,0.001,1
penyangak,0.999,0.001,1
free,0.001,0.999,1
maafkan,0.999,0.001,1
sebagai,0.001,0.999,1
apa-apa,0.999,0.001,1
mkabmr,0.999,0.001,1
harapan,0.999,0.001,1
kesilapan,0.999,0.001,1
on,0.999,0.001,1
kerana,0.001,0.999,1
wey,0.001,0.999,1
p0.00185,0.001,0.999,1
cover,0.999,0.001,1
khidmat,0.001,0.999,1
minggu,0.001,0.999,1
talk,0.999,0.001,1
ignored,0.999,0.001,1
hamun,0.999,0.001,1
malaysiamengundi,0.001,0.999,1
berkuasa,0.999,0.001,1
people,0.001,0.999,1
tahniah,0.001,0.999,1
hauled,0.001,0.999,1
kamu,0.999,0.001,1
bersama,0.001,0.999,1
relamalaysia,0.001,0.999,1
'float,0.001,0.999,1
sangka,0.999,0.001,1
rafiziramli,0.999,0.001,1
in,0.001,0.999,1
untuk,0.001,0.999,1
kawasan,0.001,0.999,1
petugas,0.001,0.999,1
media,0.001,0.999,1
nation,0.999,0.001,1
pakcik,0.001,0.999,1
places,0.001,0.999,1
22,0.001,0.999,1
suka,0.999,0.001,1
wajib,0.999,0.001,1
di,0.001,0.999,1
jer,0.999,0.001,1
mintak,0.001,0.999,1
seats,0.999,0.001,1
bn,0.999,0.001,1
doa,0.001,0.999,1
dikawasan,0.999,0.001,1
cabinet,0.999,0.001,1
sahaja..klu,0.999,0.001,1
forcing,0.999,0.001,1
tidak,0.001,0.999,1
tune,0.999,0.001,1
rakyat,0.001,0.999,1
ktan,0.999,0.001,1
questionable,0.999,0.001,1
ph.sbg,0.999,0.001,1
sudah,0.999,0.001,1
malaysias,0.999,0.001,1
masuk,0.001,0.999,1
