index,created at,text,sentiment,subjectivity,class
0,29/4/2018 4:26,"Suami ckp smlm masa Solat Jumaat

Habis solat, Imam baca doa.

Dah elok bahasa Arab, tiba - tiba..

?Ya Allah, bantulah D?",0,0,1
2,29/4/2018 4:26,"Semua benda nak large sweeping changes immediately, nak ideal conditions baru nak sokong. We can't even change the ruling?",0.557142857,0.714285714,1
3,29/4/2018 4:26,"BN UMNO pun sama...kata harga barang tak naik lepas GST, tapi tak dapat kawal harga? Sah penipu Najib ni",0,0,0
4,29/4/2018 4:26,With army kids at Batu 10 barrack outside Kuantan . All sporting same hairstyle awaiting Mr Najib?s arrival .  The Pekan inc?,0,0.0875,1
5,29/4/2018 4:25,"Many youngsters failed to realized that in order to earn better or get a promotion, u need to log in the hard work first.?",0.052083333,0.460416667,1
7,29/4/2018 4:25,A bunch of fans were hauled away by the cops for fighting at the KLFA Stadium carpark after the #SELvNS match. One mat?,0,0,1
8,29/4/2018 4:25,Pembangkang licik lari ke tempat selamat - PM Najib - https//t.co/3kVm36ioIK #therakyat,0,0,1
9,29/4/2018 4:25,Kenapa pula camtu. Korang maafkan tun mahathir sampai nak letak dia jadi PM boleh aje.  Sekurang2nya letaklah najib jadi TPM. Muhyiddin korang letak jadi menteri kewangan. Zahid biar stay kat KDN.... tul tak. Baru betul memaafkan... ye dak?,0,0,0
10,29/4/2018 4:25,"Najib kata saya tak buat apa-apa pembangunan semasa saya jadi PM ? 

Saya setuju dengan dia.

Ini jawapan saya. https/?",0,0,0
11,29/4/2018 4:24,Bloomberg Businessweek?s Najib cover is a masterpiece of layout design journalism. https//t.co/4U3zR5VVHp,0,0,0
12,29/4/2018 4:24,"Sensing a renewed Pakatan Harapan (Harapan) coalition challenge under the leadership of Dr Mahathir Mohamad, caretaker?",0,0,0
14,29/4/2018 4:24,"Yang penting Najib bangga.

https//t.co/H3x3CdheNY",0,0,1
15,29/4/2018 4:24,?Saya tidak mahu menggunakan nama Islam pada parti Islam saya kerana tidak mahu kelemahan parti saya dilihat sebagai kelem?,0,0,1
16,29/4/2018 4:24,"ON DAY 2, MAHATHIR LEAVES NAJIB FURTHER BEHIND IN FIGHT FOR HEARTS &amp; MINDS OF MALAYSIANS WILY EX-PM APPEARS IN EMOTIONA?",-0.2,0.6,0
17,29/4/2018 4:24,"#undinegaraku Drama minta simpati. Kedai roti lingkup la, ada orang sabotaj la. Pasal pesawat kena sabotaj tu, rupanya tayar?",0,0,0
18,29/4/2018 4:23,Yg najib skrg ni salah dia buat ttp mata je ke?,0,0,0
21,29/4/2018 4:23,Maruah dalam poket Najib.,0,0,0
23,29/4/2018 4:23,"I want PH to win cos;
1)Only way to get to the bottom of the 1MDB story.
2)Review of Najib's megaprojects can give us bett?",0.8,0.4,0
25,29/4/2018 4:22,Brahim dah tak boleh bawa masuk Australia guys. Please take note. https//t.co/8Mg3siC5nG,0,0,1
26,29/4/2018 4:22,Sebab tu PRU 14 ni kita kena tolak UMNO dan PAS. Satu parti mainkan isu sentimen perkauman. Satu parti lagi mainkan isu se?,0,0,0
29,29/4/2018 4:21,"Ini bukan isu real politik atau taktikal. Bila SPR sebagai pengadil berat sebelah, demokrasi tempang.

Negara kita adalah n?",0.2,0.3,0
32,29/4/2018 4:20,"Tun M awalý dah jangka benda ni jdi. Dlm ucapan beliau sblm ni, ""Najib akan beli caloný Pakatan""",0,0,0
34,29/4/2018 4:19,"SISTEM PENDIDIKAN NEGARA DEKAT DI HATI NAJIB RAZAK,ÿPM https//t.co/szYT6kn2sr https//t.co/mAecKRYx5m",0,0,1
37,29/4/2018 4:19,"Kalau kau kecewa dengan Najib Razak. 

Kalau kau kecewa dengan keadaan Malaysia sekarang ni.

JANGANLAH UNDI PARTI PAS

#GE14",0,0,0
41,29/4/2018 4:18,"Last election, the narrative used by BN folks to placate the angry public was that GE13 would be Najib's last election. Th?",-0.125,0.3,0
43,29/4/2018 4:17,"Ni ke cara Najib berkempen?Macam kempen ketua darjah sekolah rendah jer guna taktik hina pihak lawan.Oh ya lah,?",0,0,0
44,29/4/2018 4:17,"Pegangan BN adalah supaya calon yang dipilih mampu terus membawa suara dan kepentingan rakyat, dan untuk mereka diadili oleh pengundi atas khidmat jasa mereka sepanjang menjadi wakil rakyat berbeza dengan... https//t.co/ST3zC2QZ5l",0,0,1
46,29/4/2018 4:17,"The problem with Opposition today

1) U only present urself as alternate to BN. U dont give voters a POSITIVE REASON to vote?",0.056818182,0.386363636,1
51,29/4/2018 4:16,Era Perubahan Parlimen Ketereh di Zaman Datuk Seri Najib Tun Razak https//t.co/WOGHngM1yh via,0,0,1
56,29/4/2018 4:15,"Too far-fetch to expect Umno to push Najib out of the party after GE, but watch out when Zahid is sidelined, H20 and SSK get?",0,0,1
57,29/4/2018 4:15,Najib serah borang pencalonan PRU14 https//t.co/fril5P3lXV https//t.co/3TEEP6zhZD,0,0,1
58,29/4/2018 4:14,Najib Ullah,0,0,1
59,29/4/2018 4:14,Hahahaha cakap dgn cermin ke DS Najib? Siapa yg kuat spin ckp pusing lakon sana sini,0.2,0.5,0
64,29/4/2018 4:13,Saya setia bersama Pekan ? Najib https//t.co/ySp7qgh18Y https//t.co/U8TlY0Q5eI,0,0,1
67,29/4/2018 4:13,"Najib Tekad Terus Bela, Perkasa Golongan Pesawah https//t.co/xCTPMPFJIQ https//t.co/vOa1fUsZjk",0,0,1
68,29/4/2018 4:13,Replace Najib with Tok Mat of Negeri Sembilan. Easy win for BN.,0.616666667,0.616666667,1
75,29/4/2018 4:12,"Semalam bila aku tengok orang BN yang datang kat rumah pakcik aku, lepastu kawan kawan lain datang dan bahan diorang ?wey b?",0,0,1
76,29/4/2018 4:12,"DATUK SERI NAJIB UCAP TERIMA KASIH KEPADA PETUGAS, ANGGOTA KESELAMATAN HARI PENAMAAN CALON
#PRU14
#MalaysiaMengundi
#YangSah?",0,0,1
81,29/4/2018 4:09,Najib is literally promising flying cars now. https//t.co/X3pV3Oty4f,0.2,0.5,0
