index,created at,text,sentiment,subjectivity
0,29/4/2018 4:07,"Najib kata saya tak buat apa-apa pembangunan semasa saya jadi PM ? 

Saya setuju dengan dia.

Ini jawapan saya. https/…",0,0
1,29/4/2018 4:07,Pembangkang licik lari ke tempat selamat - PM Najib - https//t.co/3kVm36ioIK #therakyat,0,0
2,29/4/2018 4:06,You are representing your party. Samalah macam orang tak suka Najib dan tolak BN.  Aduh simple je benda ni jangan rumitkan.,0,0.357142857
3,29/4/2018 4:06,Bloomberg Businessweek’s Najib cover is a masterpiece of layout design journalism. https//t.co/4U3zR5VVHp,0,0
5,29/4/2018 4:06,"Dulu PRU hadapi masalah blackout.

Kali ini, PRU hadapi masalah IC.

Najib amat pandai sekali. Nak menang tanpa bertanding. Ini lah sikap BN. https//t.co/bbDt6mPqd4",0,0
6,29/4/2018 4:06,blast from the past Najib's 1MDB (1 More D^4 Bloody Bastard Blogger). https//t.co/AdzptXS6PJ,-0.183333333,0.55
7,29/4/2018 4:05,Aku sedih la siapa yang buat fake account semata-mata nak backup najib,-0.5,1
10,29/4/2018 4:05,"Since 2010  has been running $378b deficit budget PLUS (I bet u didn't know this) $97b in Supp Budgets. Under Tun &amp; AAB, PMO budgets were tops RM4b, Najib's average $16b (slush fund). With so much fat to cut, yr &amp; my grandmothers wud know where to take d knife to! https//t.co/hQgs5YLqWm",0.05,0.3
11,29/4/2018 4:05,Due to  Najib &amp; Felda Chairman Shahrir forcing investment in crony Pe…,-0.125,0.375
13,29/4/2018 4:04,"Yang penting Najib bangga.

https//t.co/H3x3CdheNY",0,0
16,29/4/2018 4:03,"Sebarkan ini. 

Undi Wee Ka Siong = UNDI NAJIB &amp; ROSMAH. 

Pangkah KEADILAN. #BinaHarapan https//t.co/VX9tUukMAl",0,0
17,29/4/2018 4:03,"#undinegaraku Drama minta simpati. Kedai roti lingkup la, ada orang sabotaj la. Pasal pesawat kena sabotaj tu, rupanya tayar…",0,0
21,29/4/2018 4:02,Now I know the other reason why SPR came out with a rule that only photos of “party leaders” are allowed. SPR wants to ta…,0.025,0.491666667
22,29/4/2018 4:02,just focus on winning and not talk about rosmah and najib la,0.5,0.75
25,29/4/2018 4:01,"I want PH to win cos;
1)Only way to get to the bottom of the 1MDB story.
2)Review of Najib's megaprojects can give us bett…",0.8,0.4
26,29/4/2018 4:01,"Too far-fetch to expect Umno to push Najib out of the party after GE, but watch out when Zahid is sidelined, H20 and SSK get…",0,0
28,29/4/2018 4:00,Sebab tu PRU 14 ni kita kena tolak UMNO dan PAS. Satu parti mainkan isu sentimen perkauman. Satu parti lagi mainkan isu se…,0,0
29,29/4/2018 4:00,DS saya sebagai rakyat Malaysia. Bila #PakatanHarapan menang perintah Malaysia tolong siasat dan dedah skandal2…,0,0
30,29/4/2018 3:59,"Media Luar Negara melaporkan Najib Razak sebagai Menteri Kewangan TERBAIK ASIA.. 

#HidupRakyat
#KitaPilihBiru
#BersamaB…",0,0
31,29/4/2018 3:59,"Sifat tenang yang dimiliki Perdana Menteri, Datuk Seri Najib Tun Razak dalam menangani isu 1MDB banyak membantu usaha ke ar…",0,0
32,29/4/2018 3:59,"Cuplikan #OPSI eps “Pesona Kursi Nomor Dua”, Alasan Cawapres Penting bagi Yunarto Wijaya. Saksikan video secara lengkap di…",0,0
33,29/4/2018 3:57,Wan Junaidi Boleh Beri Keputusan A+ Kepada Najib https//t.co/kI4TTLABFh https//t.co/TARdlVJXgw,-0.2,0.15
34,29/4/2018 3:57,tapi kj ni jenis yg takkan bukak mulut dgn isu2 panas cara kotor bn. sbb takut kena pecat dgn najib. bcs kj’s dream is to rule the country.,0,0
35,29/4/2018 3:57,"Warga keselamatan negara kini dapat menikmati jualan harga rendah bersempena JBD pada kali ini. 



#famadihatirakyat #nbos #tn50 #jbd2018 #jimatbelanjadapur2018 #pasartani https//t.co/7Uh5Wi9QTz",0,0
36,29/4/2018 3:57,"Bo Lam Pa Najib, kenapa tiba2 Mahathir tak dapat terbang ke Langkawi pada hari penting itu?  Kalau you takut sgt pada Mahathir, cakap aje la.

Menang tanpa bertanding. Semua calon2 BN sememangnya bukan ladies and gentlemen. Semuanya penakut2 besar. https//t.co/ZDItklCUfB",0,0
37,29/4/2018 3:57,"Suami ckp smlm masa Solat Jumaat

Habis solat, Imam baca doa.

Dah elok bahasa Arab, tiba - tiba..

“Ya Allah, bantulah D…",0,0
